Source / Medium,date_launched,date_ended,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Quantity Sold,Revenue,Month,WeekDayName,Year
Affiliates,2020-03-16,9/30/2020,120525,92524,154613,58.76,206151,190,3.09,638,400,24400,March,Monday,2020
Paid Search,2019-04-24,11/12/2019,39100,28831,53713,60.82,73245,225,5.15,210,151,52850,April,Wednesday,2019
Paid Search,2020-01-27,8/25/2020,191881,131797,240336,56.7,344724,69,12.37,1041,747,295065,January,Monday,2020
Display,2019-11-12,5/3/2020,22681,15121,29554,55.67,38808,95,7.22,131,93,10788,November,Tuesday,2019
Organic,2020-07-01,12/29/2020,40363,29355,57487,46.39,73746,207,12.37,308,190,73150,July,Wednesday,2020
Organic,2019-09-07,3/6/2020,196699,151001,256305,60.82,359863,277,11.34,1004,700,193900,September,Saturday,2019
Social,2020-09-21,4/30/2021,128060,87960,168160,70.1,234405,199,6.19,503,315,31500,September,Monday,2020
Paid Search,2019-08-06,2/13/2020,93515,71789,134133,58.76,188328,156,11.34,553,452,63732,August,Tuesday,2019
Direct,2019-11-30,7/7/2020,37587,28855,53153,55.67,69260,242,10.31,236,145,23345,November,Saturday,2019
Social,2020-09-02,2/21/2021,4149,3017,5700,72.16,8233,259,8.25,16,14,2954,September,Wednesday,2020
Social,2019-01-08,7/29/2019,108717,74674,139465,63.92,195814,233,9.28,503,437,38019,January,Tuesday,2019
Email,2019-10-08,3/22/2020,123330,82220,151982,48.45,219530,268,8.25,783,577,76741,October,Tuesday,2019
Referral,2020-10-15,5/13/2021,4940,3792,6038,51.55,8173,277,7.22,29,25,9600,October,Thursday,2020
Affiliates,2020-01-18,7/29/2020,89988,69082,129074,71.13,169491,207,1.03,373,226,43618,January,Saturday,2020
Referral,2020-07-07,12/23/2020,61882,47505,87510,59.79,116680,242,3.09,352,263,74429,July,Tuesday,2020
Email,2020-08-31,3/15/2021,121958,93624,172466,69.07,245633,130,6.19,533,436,56244,August,Monday,2020
Organic,2019-12-14,6/5/2020,135822,100152,190700,74.23,254267,147,2.06,491,441,185220,December,Saturday,2019
Social,2020-10-07,5/20/2021,26068,17905,36601,56.7,44735,259,12.37,158,99,13860,October,Wednesday,2020
Social,2020-11-12,4/29/2021,153613,119477,192404,74.23,272086,251,7.22,496,411,154536,November,Thursday,2020
Email,2020-12-12,,123221,93349,164295,64.95,233996,199,9.28,576,413,118118,December,Saturday,2020
Paid Search,2019-10-20,4/20/2020,138489,103517,174860,72.16,217250,251,3.09,487,315,101430,October,Sunday,2019
Organic,2020-07-19,2/28/2021,46655,31103,64092,59.79,78335,138,8.25,258,190,83220,July,Sunday,2020
Email,2020-04-24,11/15/2020,116221,83350,162005,68.04,202915,86,4.12,518,361,79781,April,Friday,2020
Paid Search,2020-03-13,10/18/2020,160777,112057,196505,55.67,281856,164,11.34,871,686,63798,March,Friday,2020
Organic,2020-03-15,9/14/2020,141955,101806,182104,41.24,246484,121,1.03,1070,821,56649,March,Sunday,2020
Affiliates,2019-03-30,10/28/2019,156199,108866,200376,72.16,259072,121,12.37,558,502,218872,March,Saturday,2019
Social,2020-06-01,1/9/2021,91286,65468,123559,48.45,151017,164,11.34,637,392,159544,June,Monday,2020
