transaction_id,Month_Name,Product_Category,Product_Sub_Category,Qty,Rate,Amount,Tax,Delivery_chrgs,Payment_mode,Store_type,Reviews,CustID,Gender,Marital_status,Education,Profession,Income,City_Name,Return
41453307,January,Books,Fiction,3,359,1795,188.475,90,Mobile Payments,e-Shop,1,14644,M,Not Married,PhD,Others,67501,Hyderabad,1
49441287,January,Clothing,Women,5,1129,5645,592.725,250,Credit Card,TeleShop,1,14569,M,Married,Master,Salaried,102738,Bangalore,1
426787191,January,Home and kitchen,Bath,4,1327,6635,696.675,,Debit Card,MBR,1,14356,M,Married,Basic,Salaried,104013,Kolkata,1
525041466,January,Footwear,Mens,5,1325,6625,695.625,,Debit Card,MBR,4,12776,M,Married,Others,Others,92580,Hyderabad,1
1167308476,January,Clothing,Women,3,1237,6185,649.425,,Debit Card,MBR,1,1101,M,Not Married,Basic,Others,101763,New Delhi ,1
1551902938,January,Bags,Women,5,837,837,87.885,50,Mobile Payments,e-Shop,1,2071,F,Not Married,Basic,Salaried,148478,Chennai,1
1737257883,January,Home and kitchen,Kitchen,4,931,2793,293.265,,Credit Card,Flagship store,1,12314,F,Married,Master,Salaried,22175,New Delhi ,1
1772932091,January,Clothing,Women,2,1211,3633,381.465,200,Credit Card,e-Shop,2,18151,F,Not Married,Others,Self Employed,82289,Chennai,1
2557266420,January,Home and kitchen,Furnishing,1,1497,4491,471.555,200,Credit Card,e-Shop,1,12692,M,Not Married,Master,Salaried,112781,Pune,1
3012778958,January,Bags,Mens,5,1008,2016,211.68,90,Debit Card,e-Shop,1,16219,M,Not Married,Master,Others,68091,Hyderabad,1
3041357146,January,Footwear,Mens,5,1282,3846,403.83,200,Debit Card,e-Shop,1,8723,F,Not Married,Master,Salaried,86990,Hyderabad,1
3269493227,January,Bags,Women,1,1353,5412,568.26,,Debit Card,Flagship store,5,7403,M,Not Married,Master,Salaried,64456,Ahmedabad,1
